Tag,TsTo,Duration,guy_coda_type,Focal,past_codas,codas_history,CI,CB,overlap_pair,non_overlap_pair,reverse_overlap_pair,reverse_non_overlap_pair,codaNUM2018,REC,nClicks,ICI1,ICI2,ICI3,ICI4,ICI5,ICI6,ICI7,ICI8,ICI9,ICI10,ICI11,ICI12,ICI13,ICI14,ICI15,ICI16,ICI17,ICI18,ICI19,ICI20,ICI21,ICI22,ICI23,ICI24,ICI25,ICI26,ICI27,ICI28,ICI29,ICI30,ICI31,ICI32,ICI33,ICI34,ICI35,ICI36,ICI37,ICI38,ICI39,ICI40,ELKI2,ELKI2name,Unit,UnitNum,IDN,Date,TagOnTime,Name,Bout,Whale,Coda,IPI1,IPI2,IPI3,IPI4,IPI5,IPI6,IPI7,IPI8,IPI9,IPI10,IPI11,IPI12,IPI13,IPI14,IPI15,IPI16,IPI17,IPI18,IPI19,IPI20,IPI21,IPI22,IPI23,IPI24,IPI25,IPI26,IPI27,IPI28,IPI29,IPI30,IPI31,IPI32,IPI33,IPI34,IPI35,IPI36,IPI37,IPI38,IPI39,IPI40,decision_tree_coda_type,pair_category
sw061b,126.0372,0.9277916000000002,10i,1.0,[],[],1.3606084000000038,,,,,,4931,sw061b001_124,17,0.03395,0.0361166,0.0488667,0.0489083,0.042275,0.0404834,0.040975,0.0396083,0.0421334,0.0416916,0.0445917,0.0517916,0.0650334,0.0868333,0.1188917,0.1456416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,A,1,5586,02-03-2015,11:20:26,ATWOOD,1,1,1,3.15,3.158333,3.125,3.116667,3.116667,3.133333,3.141667,3.141667,3.141667,3.125,3.125,3.116667,3.108333,3.108333,3.1,3.116667,3.116667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10i,
sw061b,128.3256,1.0929917,10i,1.0,[0],[0],2.329008299999998,,,,,,4932,sw061b001_124,20,0.0328166,0.0393584,0.045325,0.0499333,0.0440834,0.0447833,0.0436833,0.04065,0.0421917,0.0428083,0.0418834,0.0419416,0.0459334,0.052375,0.0604833,0.0737667,0.0894916,0.1095167,0.1519667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,A,1,5586,02-03-2015,11:20:26,ATWOOD,1,1,2,3.15,3.15,3.141667,3.141667,3.141667,3.141667,3.158333,3.141667,3.141667,3.133333,3.125,3.125,3.116667,3.116667,3.108333,3.108333,3.1,3.1,3.108333,3.116667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10i,
sw061b,131.7476,0.89825,1+1+3,1.0,"[1, 0]","[1, 0]",2.9418500000000165,,,,,,4933,sw061b001_124,5,0.27585,0.2867833,0.1974,0.1382167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,A,1,5586,02-03-2015,11:20:26,ATWOOD,1,1,3,3.141667,3.133333,3.158333,3.15,3.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1+1+3,
sw061b,135.5877,0.865575,1+1+3,1.0,"[2, 1, 0]","[2, 1, 0]",3.0684249999999906,,,,,,4934,sw061b001_124,5,0.262275,0.2768833,0.1833333,0.1430834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,A,1,5586,02-03-2015,11:20:26,ATWOOD,1,1,4,3.041667,3.083333,3.075,3.1,3.091667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1+1+3,
sw061b,139.5217,0.8583166,1+1+3,1.0,"[3, 2, 1, 0]","[3, 2, 1, 0]",2.408083399999981,,,,,,4935,sw061b001_124,5,0.266675,0.2693583,0.178325,0.1439583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,A,1,5586,02-03-2015,11:20:26,ATWOOD,1,1,5,3.141667,3.133333,3.158333,3.125,3.133333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1+1+3,
sw061b,142.7881,0.8619416,1+1+3,1.0,"[4, 3, 2, 1, 0]","[4, 3, 2, 1, 0]",2.2070584000000224,,,,,,4936,sw061b001_124,5,0.2686583,0.2851417,0.1784083,0.1297333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,A,1,5586,02-03-2015,11:20:26,ATWOOD,1,1,6,3.15,3.133333,3.141667,3.133333,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1+1+3,
sw061b,145.8571,0.838825,1+1+3,1.0,"[5, 4, 3, 2, 1, 0]","[5, 4, 3, 2, 1, 0]",2.699674999999985,,,,,,4937,sw061b001_124,5,0.2522667,0.2530833,0.1827334,0.1507416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,A,1,5586,02-03-2015,11:20:26,ATWOOD,1,1,7,3.133333,3.108333,3.125,3.133333,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1+1+3,
sw061b,149.3956,0.8447332999999999,1+1+3,1.0,"[6, 5, 4, 3, 2, 1, 0]","[6, 5, 4, 3, 2, 1, 0]",2.707866700000011,-0.7865333000000021,8.0,,,,4938,sw061b001_124,5,0.2584333,0.2746417,0.174025,0.1376333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,A,1,5586,02-03-2015,11:20:26,ATWOOD,1,1,8,3.1,3.108333,3.116667,3.125,3.116667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1+1+3,overlap_pair
sw061b,149.4538,0.8711697,4R2,0.0,[],"[7, 6, 5, 4, 3, 2, 1, 0]",2.4835303000000124,,,,,,4961,sw061b001_124,4,0.2998227,0.2965137,0.2748333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,A,1,0,02-03-2015,11:20:26,ATWOOD,1,2,1,1.05,1.125,1.15,1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4R2,
sw061b,152.8085,0.967213,1+1+3,0.0,[8],"[8, 7, 6, 5, 4, 3, 2, 1, 0]",2.242387000000008,-0.827512999999982,,,10.0,,4962,sw061b001_124,5,0.3213012,0.3016214,0.3031725,0.0411179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,A,1,0,02-03-2015,11:20:26,ATWOOD,1,2,2,3.2,3.175,3.183333,2.316667,3.133333,3.133333,3.133333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4R2,reverse_overlap_pair
